IDDOC,LINENO,SP5179,SP8035,SP5180,SP5181,SP5182,SP5183,SP5184,SP5185,SP5186,SP8915,SP8916
"2C2FJ1",1,"2Z","0",28117,793,2434.51,0.0,300.0,0.01,2734.52,0,0
"2C2FM1",1,"2Z","0",28786,669,2053.83,0.0,300.0,0.01,2353.84,0,0
"2C2FO1",1,"2Z","0",29532,746,1961.98,0.0,300.0,0.01,2261.99,0,0
"2C2FR1",1,"3Y","0",52779,1378,4230.46,0.0,300.0,0.01,4530.47,0,0
"2C2FT1",1,"3Y","0",54184,1405,4313.35,0.0,607.0,0.01,4920.36,0,0
"2C2FY1",1,"3Y","0",55528,1344,3534.72,0.0,300.0,0.01,3834.73,0,0
"2C2G31",1,"38","0",23532,418,1630.2,0.0,0.0,0.01,1630.21,0,0
"2C2GA1",1,"38","0",21798,919,3584.1,0.0,0.0,0.01,3584.11,0,0
"2C2GD1",1,"38","0",23114,583,2273.7,0.0,0.0,0.01,2273.71,0,0
"2C2GM1",1,"40","0",29939,772,3010.8,0.0,0.0,0.01,3010.81,0,0
"2C2H21",1,"1C","0",39164,1124,3147.2,0.0,414.0,0.01,3561.21,0,0
"2C2H31",1,"1C","0",40400,1236,3460.8,0.0,350.0,0.01,3810.81,0,0
"2C2H51",1,"1C","0",41526,1126,2815.0,0.0,281.5,0.01,3096.51,0,0
"2C2H71",1,"19","0",55312,1093,3442.95,0.0,55.0,0.01,3497.96,0,0
"2C2HG1",1,"24","0",61350,560,1316.0,132.0,0.0,0.01,1448.01,0,0
"2C2KK1",1,"23","0",59806,308,723.8,75.2,0.0,0.01,799.01,0,0
"2C2KM1",1,"1C","0",41526,1126,2815.0,283.0,0.0,0.01,3098.01,0,0
"2C2KN1",1,"19","0",57904,1145,3549.5,177.5,0.0,0.01,3727.01,0,0
"2C2KO1",1,"18","0",59169,1310,3275.0,327.0,0.0,0.01,3602.01,0,0
"2C2KQ1",1,"3E","0",31381,717,1792.5,180.5,0.0,0.01,1973.01,0,0
"2C2KR1",1,"2I","0",12355,595,1487.5,150.5,0.0,0.01,1638.01,0,0
"2C2KS1",1,"1V","0",80826,748,1757.8,0.0,150.0,0.01,1907.81,0,0
"2C2KV1",1,"4V","0",17653,1091,2792.96,200.0,2000.0,0.01,4992.97,0,0
"2C2KW1",1,"4V","0",18709,1056,2703.36,200.0,2000.0,0.01,4903.37,0,0
"2C2L01",1,"4T","0",21640,1100,3135.0,0.0,726.6,0.01,3861.61,0,0
"2C2L31",1,"4T","0",22463,823,2222.1,221.4,484.6,0.01,2928.11,0,0
"2C2L51",1,"4T","0",23222,759,2163.15,0.0,549.4,0.01,2712.56,0,0
"2C2TK1",1,"6C1","0",1029,1007,2577.92,0.0,28.66,0.01,2606.59,0,0
"2C2TL1",1,"6C1","0",2785,1756,4495.36,0.0,56.59,0.01,4551.96,0,0
"2C2TN1",1,"6C1","0",4620,1835,3901.94,0.0,85.1,0.01,3987.05,0,0
"2C2TV1",1,"611","0",3059,895,2440.67,90.81,156.0,0.01,2687.49,0,0
"2C2U21",1,"611","0",4088,1029,2806.08,0.0,266.59,0.01,3072.68,0,0
"2C2U41",1,"611","0",5109,1021,2784.27,91.67,169.0,0.01,3044.95,0,0
"2C2UB1",1,"611","0",6025,916,2125.49,78.0,164.3,0.01,2367.8,0,0
"2C2UD1",1,"5H","0",13824,1145,3583.85,0.0,157.8,0.01,3741.66,0,0
"2C2UF1",1,"5H","0",15384,1560,4882.8,0.0,157.8,0.01,5040.61,0,0
"2C2UJ1",1,"5H","0",16529,1145,3102.95,0.0,157.8,0.01,3260.76,0,0
"2C2UK1",1,"10","0",10820,885,3230.25,0.0,500.0,0.01,3730.26,0,0
"2C2UL1",1,"10","0",11632,812,2963.8,0.0,0.0,0.01,2963.81,0,0
"2C2UN1",1,"10","0",12467,835,2505.0,0.0,500.0,0.01,3005.01,0,0
"2C6ZO1",1,"1X","0",42169,694,2567.8,0.0,0.0,0.01,2567.81,0,0
"2C6ZS1",1,"1X","0",43378,563,2083.1,0.0,0.0,0.01,2083.11,0,0
"2C6ZT1",1,"1X","0",43819,441,1631.7,0.0,0.0,0.01,1631.71,0,0
"2C7021",1,"4Q","0",1212,1212,3319.67,0.0,0.0,0.01,3319.68,0,0
"2C7031",1,"4Q","0",1018,1018,2788.3,0.0,0.0,0.01,2788.31,0,0
"2C77E1",1,"4Q","0",958,958,2232.14,0.0,0.0,0.01,2232.15,0,0
"2C7GU1",1,"4O","0",1431,1431,3901.62,0.0,0.0,0.01,3901.63,0,0
"2C7LO1",1,"4O","0",900,900,2453.85,0.0,0.0,0.01,2453.86,0,0
"2C7PS1",1,"4O","0",831,831,1930.55,0.0,0.0,0.01,1930.56,0,0
"2C8M61",1,"4P","0",977,977,2664.28,25.0,0.0,0.01,2689.29,0,0
"2C8O61",1,"4P","0",784,784,2137.97,10.0,0.0,0.01,2147.98,0,0
"2C8O91",1,"4P","0",701,701,1626.32,9.0,0.0,0.01,1635.33,0,0
"2CG7E1",1,"5T1","0",963,963,3129.75,0.0,0.0,0.01,3129.76,0,0
"2CG7G1",1,"5T1","0",997,997,3240.25,0.0,0.0,0.01,3240.26,0,0
"2CG7M1",1,"5T1","0",9112,867,2817.75,0.0,0.0,0.01,2817.76,0,0
"2CG7S1",1,"5S1","0",24791,1286,4179.5,0.0,0.0,0.01,4179.51,0,0
"2CG7T1",1,"5S1","0",26188,1397,4540.25,0.0,0.0,0.01,4540.26,0,0
"2CG7U1",1,"5S1","0",27521,1333,4332.25,0.0,0.0,0.01,4332.26,0,0
"2CG7Y1",1,"1Y","0",73727,690,2373.6,23.0,370.0,0.01,2766.61,0,0
"2CG861",1,"1Y","0",74349,622,2139.68,22.0,370.0,0.01,2531.69,0,0
"2CG8B1",1,"1Y","0",74878,529,1819.76,19.0,370.0,0.01,2208.77,0,0
"2CG8L1",1,"661","0",6605,1974,5922.0,0.0,1000.0,0.01,6922.01,0,0
"2CG8O1",1,"661","0",8346,1741,5484.15,0.0,1000.0,0.01,6484.16,0,0
"2CG981",1,"661","0",9968,1622,5109.3,0.0,1000.0,0.01,6109.31,0,0
"2CH4T1",1,"1Z","0",99198,845,2303.89,18.0,258.22,0.01,2580.12,0,0
"2CH511",1,"1Z","0",100402,1204,3000.0,0.0,0.0,0.01,3000.01,0,0
"2CH531",1,"1Z","0",101374,963,2150.0,0.0,0.0,0.01,2150.01,0,0
"2CH561",1,"2B","0",53529,904,3570.8,0.0,0.0,0.01,3570.81,0,0
"2CH5C1",1,"2B","0",54554,1025,4048.75,0.0,0.0,0.01,4048.76,0,0
"2CH5E1",1,"2B","0",55546,992,3918.4,0.0,0.0,0.01,3918.41,0,0
"2CH6F1",1,"3B","0",874,874,3391.12,0.0,0.0,0.01,3391.13,0,0
"2CH6H1",1,"3B","0",788,788,3057.44,0.0,0.0,0.01,3057.45,0,0
"2CH6J1",1,"3B","0",633,633,2456.04,0.0,0.0,0.01,2456.05,0,0
"2CH6L1",1,"1M","0",753,753,2070.75,0.0,0.0,0.01,2070.76,0,0
"2CH6M1",1,"1M","0",836,836,2299.0,0.0,0.0,0.01,2299.01,0,0
"2CH6N1",1,"1M","0",1259,1259,3462.25,0.0,0.0,0.01,3462.26,0,0
"2CH6U1",1,"11","0",31500,1000,2753.8,0.0,0.0,0.01,2753.81,0,0
"2CH6V1",1,"11","0",32500,1000,2753.8,0.0,0.0,0.01,2753.81,0,0
"2CH6X1",1,"11","0",1500,1500,4130.8,0.0,0.0,0.01,4130.81,0,0
"2CH6Y1",1,"11","0",2500,1000,2726.5,0.0,0.0,0.01,2726.51,0,0
"2CH781",1,"30","0",83176,894,2288.64,0.0,0.0,0.01,2288.65,0,0
"2CH791",1,"30","0",83852,676,1730.56,0.0,0.0,0.01,1730.57,0,0
"2CH7I1",1,"30","0",84791,939,2000.07,0.0,0.0,0.01,2000.08,0,0
"2CH7J1",1,"3H","0",176987,858,2359.5,0.0,0.0,0.01,2359.51,0,0
"2CH7K1",1,"3H","0",177991,804,2211.0,0.0,0.0,0.01,2211.01,0,0
"2CH7L1",1,"3H","0",179196,955,2626.25,0.0,0.0,0.01,2626.26,0,0
"2CH7M1",1,"3H","0",180585,1064,2926.0,0.0,0.0,0.01,2926.01,0,0
"2CH7O1",1,"3L","0",7830,1433,3940.75,0.0,0.0,0.01,3940.76,0,0
"2CH7P1",1,"3L","0",9310,1480,4070.0,0.0,0.0,0.01,4070.01,0,0
"2CH7Q1",1,"3L","0",10779,1469,4039.75,0.0,0.0,0.01,4039.76,0,0
"2CH7R1",1,"3L","0",6397,1450,3987.5,0.0,0.0,0.01,3987.51,0,0
"2CH821",1,"30","0",82282,1127,2885.12,0.0,0.0,0.01,2885.13,0,0
"2CH861",1,"41","0",91126,1164,3201.0,0.0,0.0,0.01,3201.01,0,0
"2CHS81",1,"41","0",92279,1153,3170.75,0.0,0.0,0.01,3170.76,0,0
"2CHSA1",1,"41","0",93478,1199,3297.25,0.0,0.0,0.01,3297.26,0,0
"2CHSB1",1,"41","0",94704,1226,3371.5,0.0,0.0,0.01,3371.51,0,0
"2CHSI1",1,"4E","0",123129,1267,3484.25,0.0,0.0,0.01,3484.26,0,0
"2CHSK1",1,"4E","0",124360,1231,3385.25,0.0,0.0,0.01,3385.26,0,0
"2CHSM1",1,"4E","0",125556,1196,3289.0,0.0,0.0,0.01,3289.01,0,0
"2CHSN1",1,"4E","0",126782,1226,3371.5,0.0,0.0,0.01,3371.51,0,0
"2CHT11",1,"6K1","0",510,453,1159.68,0.0,114.0,0.01,1273.69,0,0
"2CHTA1",1,"6K1","0",2016,1506,3855.36,0.0,140.0,0.01,3995.37,0,0
"2CHTC1",1,"6I1","0",876,876,3328.8,0.0,0.0,0.01,3328.81,0,0
"2CHTD1",1,"6I1","0",1136,1136,4316.8,0.0,0.0,0.01,4316.81,0,0
"2CHTG1",1,"6L1","0",74758,537,1143.81,0.0,0.0,0.01,1143.82,0,0
"2CHU91",1,"4L","0",1182,1182,3222.72,0.0,0.0,0.01,3222.73,0,0
"2CHUB1",1,"4L","0",754,754,2055.78,0.0,0.0,0.01,2055.79,0,0
"2CHUG1",1,"4L","0",944,944,2192.91,0.0,0.0,0.01,2192.92,0,0
"2CHV71",1,"44","0",2000,2000,6400.0,0.0,1000.0,0.01,7400.01,0,0
"2CHV81",1,"44","0",1700,1700,5440.0,0.0,1000.0,0.01,6440.01,0,0
"2CHVB1",1,"44","0",1340,1340,4288.0,0.0,1000.0,0.01,5288.01,0,0
"2CHVD1",1,"44","0",1043,1043,3337.6,0.0,900.0,0.01,4237.61,0,0
"2CHW21",1,"Y","0",36178,1300,3328.0,0.0,1673.0,0.01,5001.01,0,0
"2CHWC1",1,"Y","0",37285,1107,2833.92,0.0,1385.0,0.01,4218.93,0,0
"2CHWI1",1,"Y","0",38494,1209,3095.04,115.0,1360.0,0.01,4570.05,0,0
"2CIRR1",1,"671","0",41898,1550,6200.0,0.0,0.0,0.01,6200.01,0,0
"2CIRY1",1,"2Y","0",18667,1022,4496.8,0.0,303.0,0.01,4799.81,0,0
"2CIS01",1,"36","0",26313,508,1828.8,0.0,600.0,0.01,2428.81,0,0
"2CIS41",1,"1L","0",52934,621,2012.04,0.0,1000.0,0.01,3012.05,0,0
"2CJEA1",1,"24","0",60190,840,2310.0,231.0,0.0,0.01,2541.01,0,0
"2CJEE1",1,"23","0",58398,1138,3129.5,313.5,0.0,0.01,3443.01,0,0
"2CJEF1",1,"18","0",56481,1275,3570.0,358.4,0.0,0.01,3928.41,0,0
"2CJEG1",1,"3E","0",29849,997,2791.6,280.0,0.0,0.01,3071.61,0,0
"2CJEI1",1,"2I","0",11092,825,2310.0,232.0,0.0,0.01,2542.01,0,0
"2CJEP1",1,"1V","0",77943,1103,3033.25,0.0,0.0,0.01,3033.26,0,0
"2CJF91",1,"5K","0",13652,1117,3540.89,9.0,0.0,0.01,3549.9,0,0
"2CJFF1",1,"5K","0",14802,1162,3637.06,3.0,0.0,0.01,3640.07,0,0
"2CJFM1",1,"5K","0",1110,1110,3509.82,0.0,0.0,0.01,3509.83,0,0
"2CJFO1",1,"5K","0",1060,1060,2872.6,0.0,27.0,0.01,2899.61,0,0
"2CJFT1",1,"5J","0",25888,1174,3709.84,0.0,0.0,0.01,3709.85,0,0
"2CJFW1",1,"5J","0",27395,1507,4671.7,0.0,0.0,0.01,4671.71,0,0
"2CJFY1",1,"5J","0",28999,1604,5196.96,0.0,0.0,0.01,5196.97,0,0
"2CJG91",1,"5V1","0",94550,800,2181.6,0.0,1017.56,0.01,3199.17,0,0
"2CJGM1",1,"5V1","0",95484,934,2547.02,85.0,0.0,0.01,2632.03,0,0
"2CJGQ1",1,"5V1","0",97424,948,2202.2,328.12,0.0,0.01,2530.33,0,0
"2CJHX1",1,"641","0",3534,1020,3396.6,0.0,180.0,0.01,3576.61,0,0
"2CJHY1",1,"641","0",4860,1326,4415.58,0.0,180.0,0.01,4595.59,0,0
"2CJI01",1,"641","0",6019,1159,3859.47,0.0,180.0,0.01,4039.48,0,0
"2CJNR1",1,"51","0",1901,1901,5703.0,0.0,365.63,0.01,6068.64,0,0
"2CJNT1",1,"51","0",1666,1666,4998.0,0.0,350.0,0.01,5348.01,0,0
"2CJNX1",1,"51","0",1540,1540,4620.0,0.0,729.0,0.01,5349.01,0,0
"2CJO01",1,"51","0",1677,1677,5031.0,0.0,640.79,0.01,5671.8,0,0
"2CJO91",1,"3M","0",1441,1441,3688.96,37.0,0.0,0.01,3725.97,0,0
"2CJQN1",1,"3M","0",1266,1266,3240.96,33.0,0.0,0.01,3273.97,0,0
"2CJVC1",1,"3M","0",1127,1127,2400.51,24.0,0.0,0.01,2424.52,0,0
"2CK4Z1",1,"2O","0",1625,1625,4972.5,0.0,1000.0,0.01,5972.51,0,0
"2CK9M1",1,"2O","0",1258,1258,3849.48,0.0,1000.0,0.01,4849.49,0,0
"2CKD71",1,"2O","0",1116,1116,3414.96,0.0,1000.0,0.01,4414.97,0,0
"2CKGS1",1,"2O","0",1367,1367,4183.02,0.0,1000.0,0.01,5183.03,0,0
"2CKW21",1,"4C","0",1909,1909,5345.2,82.0,950.0,0.01,6377.21,0,0
"2CKW31",1,"4C","0",942,942,2637.6,0.0,0.0,0.01,2637.61,0,0
"2CKW51",1,"4C","0",1042,1042,2917.6,0.0,1740.0,0.01,4657.61,0,0
"2CKWE1",1,"4C","0",0,2153,4736.6,0.0,936.0,0.01,5672.61,0,0
"2CKWG1",1,"U","0",83887,2139,6952.0,75.0,0.0,0.01,7027.01,0,0
"2CKWH1",1,"U","0",85777,1890,6142.5,315.0,0.0,0.01,6457.51,0,0
"2CKWJ1",1,"U","0",1909,1909,5727.0,340.0,0.0,0.01,6067.01,0,0
"2CKWN1",1,"1T","0",1500,1500,6300.0,0.0,0.0,0.01,6300.01,0,0
"2CKWP1",1,"1T","0",1300,1300,5460.0,0.0,0.0,0.01,5460.01,0,0
"2CKWR1",1,"1T","0",1000,1000,4200.0,0.0,0.0,0.01,4200.01,0,0
"2CKWW1",1,"9","0",51487,426,1695.91,0.0,100.0,0.01,1795.92,0,0
"2CKWX1",1,"9","0",51974,487,1938.75,0.0,100.0,0.01,2038.76,0,0
"2CKWY1",1,"9","0",52407,433,1723.77,0.0,100.0,0.01,1823.78,0,0
"2CKWZ1",1,"9","0",52898,491,1954.67,0.0,100.0,0.01,2054.68,0,0
"2CKY21",1,"651","0",46751,1750,4480.0,0.0,0.0,0.01,4480.01,0,0
"2CKZT1",1,"651","0",47865,1114,2851.84,0.0,0.0,0.01,2851.85,0,0
"2CL0S1",1,"651","0",48847,982,2513.92,0.0,0.0,0.01,2513.93,0,0
"2CL0V1",1,"5X1","0",0,937,2998.4,0.0,0.0,0.01,2998.41,0,0
"2CL0W1",1,"5X1","0",4368,901,2883.2,0.0,0.0,0.01,2883.21,0,0
"2CL0X1",1,"5X1","0",6280,956,3059.2,0.0,0.0,0.01,3059.21,0,0
"2CMXV1",1,"5X1","0",5324,956,3059.2,0.0,0.0,0.01,3059.21,0,0
"2CMYK1",1,"3D","0",29537,1987,6954.5,0.0,0.0,0.01,6954.51,0,0
"2CMYM1",1,"3D","0",31494,1957,6849.8,0.0,0.0,0.01,6849.81,0,0
"2CMYW1",1,"3D","0",35354,2180,6540.0,0.0,0.0,0.01,6540.01,0,0
"2CMZR1",1,"39","0",25764,1184,4736.0,0.0,0.0,0.01,4736.01,0,0
"2CMZZ1",1,"39","0",26867,1103,4412.0,0.0,0.0,0.01,4412.01,0,0
"2CN0E1",1,"39","0",28618,778,3189.9,0.0,0.0,0.01,3189.91,0,0
"2CN0F1",1,"39","0",29729,1111,4444.0,0.0,0.0,0.01,4444.01,0,0
"2CN0X1",1,"1U","0",1100,1100,4620.0,0.0,0.0,0.01,4620.01,0,0
"2CN0Y1",1,"1U","0",900,900,3780.0,0.0,0.0,0.01,3780.01,0,0
"2CN111",1,"1U","0",800,800,3360.0,0.0,0.0,0.01,3360.01,0,0
"2CN3J1",1,"40","0",27377,1064,4149.6,0.0,0.0,0.01,4149.61,0,0
"2CN631",1,"38","0",22531,733,2858.7,0.0,0.0,0.01,2858.71,0,0
"2CN641",1,"40","0",28266,889,3467.0,0.0,0.0,0.01,3467.01,0,0
"2CN9S1",1,"40","0",29167,944,3681.6,0.0,0.0,0.01,3681.61,0,0
"2CNIP1",1,"4V","0",15305,1348,3450.88,150.0,2000.0,0.01,5600.89,0,0
"2CNIW1",1,"4V","0",16562,1257,3217.92,150.0,3300.0,0.01,6667.93,0,0
"2CNIX1",1,"2J","0",44341,860,2734.8,275.0,70.0,0.01,3079.81,0,0
"2CNIY1",1,"2K","0",51713,837,1992.06,219.93,0.0,0.01,2212.0,0,0
"2CPD31",1,"2Y","0",3627,821,3366.1,93.0,1000.0,0.01,4459.11,0,0
"2CPDA1",1,"2Y","0",4137,510,2448.0,31.0,0.0,0.01,2479.01,0,0
"2CPDD1",1,"2Y","0",17842,598,2631.2,2.0,0.0,0.01,2633.21,0,0
"2CPEW1",1,"4R","0",150,150,399.0,0.0,2960.0,0.01,3359.01,0,0
"2CPFK1",1,"4R","0",205,205,545.3,202.8,3233.0,0.01,3981.11,0,0
"2CPFO1",1,"4R","0",493,493,1345.89,87.49,3211.48,0.01,4644.87,0,0
"2CPFU1",1,"59","0",0,1039,2836.47,0.0,0.0,0.01,2836.48,0,0
"2CPFX1",1,"59","0",0,916,2500.68,0.0,0.0,0.01,2500.69,0,0
"2CPG11",1,"59","0",0,737,2026.75,0.0,0.0,0.01,2026.76,0,0
"2CPG21",1,"59","0",0,631,1735.25,0.0,0.0,0.01,1735.26,0,0
"2CPG41",1,"59","0",0,1182,2742.24,15.0,0.0,0.01,2757.25,0,0
"2CR581",1,"5U1","0",0,1257,2828.25,56.0,0.0,0.01,2884.26,0,0
"2CR5A1",1,"5U1","0",0,1348,2965.6,59.4,0.0,0.01,3025.01,0,0
"2CR5E1",1,"5U1","0",0,1191,3301.45,54.98,0.0,0.01,3356.44,0,0
"2CRTY1",1,"6D1","0",2144,2144,5489.0,0.0,0.0,0.01,5489.01,0,0
"2CRU01",1,"6D1","0",3671,1527,3909.12,0.0,0.0,0.01,3909.13,0,0
"2CRU31",1,"691","0",0,1416,3651.16,0.0,1416.0,0.01,5067.17,0,0
"2CRU51",1,"691","0",0,1114,2835.13,0.0,0.0,0.01,2835.14,0,0
"2CRU61",1,"691","0",0,1358,3456.11,0.0,0.0,0.01,3456.12,0,0
"2CRYK1",1,"691","0",0,1369,3407.44,15.92,0.0,0.01,3423.37,0,0
"2CRZ01",1,"54","0",0,1434,3671.04,181.0,35.0,0.01,3887.05,0,0
"2CRZ61",1,"54","0",0,1316,3368.96,166.0,35.0,0.01,3569.97,0,0
"2CRZ71",1,"54","0",0,1113,2849.28,115.0,88.0,0.01,3052.29,0,0
"2CRZ91",1,"54","0",109706,1222,2602.86,86.0,88.0,0.01,2776.87,0,0
"2CSLD1",1,"5G","0",8147,935,2393.6,7.0,25.0,0.01,2425.61,0,0
"2CSLE1",1,"5G","0",8987,840,2150.4,7.0,0.0,0.01,2157.41,0,0
"2CSLF1",1,"5G","0",9601,614,1571.84,0.0,20.0,0.01,1591.85,0,0
"2CSM01",1,"5G","0",10028,427,909.51,0.0,10.0,0.01,919.52,0,0
"2CSM81",1,"5M","0",57463,1676,5245.88,0.0,52.0,0.01,5297.89,0,0
"2CSM91",1,"5M","0",58910,1447,4529.11,0.0,45.0,0.01,4574.12,0,0
"2CSMA1",1,"5M","0",58808,1345,4209.85,0.0,42.0,0.01,4251.86,0,0
"2CSMG1",1,"5M","0",60137,1329,3614.88,0.0,25.0,0.01,3639.89,0,0
"2CSNH1",1,"V","0",23820,800,2181.6,0.0,0.0,0.01,2181.61,0,0
"2CSNI1",1,"V","0",24820,1000,2727.0,0.0,0.0,0.01,2727.01,0,0
"2CSNO1",1,"V","0",25820,1000,2727.0,0.0,0.0,0.01,2727.01,0,0
"2CSO21",1,"43","0",21662,900,2520.0,0.0,0.0,0.01,2520.01,0,0
"2CSO51",1,"43","0",22279,617,1727.6,0.0,0.0,0.01,1727.61,0,0
"2CSOA1",1,"43","0",22906,627,1755.6,0.0,0.0,0.01,1755.61,0,0
"2CSOL1",1,"43","0",23599,693,1940.4,0.0,0.0,0.01,1940.41,0,0
"2CSP31",1,"24","0",60790,600,1650.0,165.0,0.0,0.01,1815.01,0,0
"2CSPG1",1,"23","0",59498,1100,3025.0,303.0,0.0,0.01,3328.01,0,0
"2CSPP1",1,"19","0",56659,1162,3660.3,0.0,0.0,0.01,3660.31,0,0
"2CSQ01",1,"18","0",57859,1378,3858.4,386.0,0.0,0.01,4244.41,0,0
"2CSQ41",1,"3E","0",30664,815,2282.0,230.0,0.0,0.01,2512.01,0,0
"2CSQD1",1,"2I","0",11760,668,1870.4,188.0,0.0,0.01,2058.41,0,0
"2CSQF1",1,"1V","0",79463,1520,4180.0,0.0,0.0,0.01,4180.01,0,0
"2CSQO1",1,"2I","0",13086,731,1827.5,183.0,0.0,0.01,2010.51,0,0
"2CSQW1",1,"19","0",58913,1009,3127.9,28.0,0.0,0.01,3155.91,0,0
"2CSQX1",1,"18","0",60902,1733,4332.5,433.0,0.0,0.01,4765.51,0,0
"2CSQZ1",1,"3E","0",32258,877,2192.5,221.0,0.0,0.01,2413.51,0,0
"2CSR01",1,"1C","0",42872,1346,3365.0,337.0,43.0,0.01,3745.01,0,0
"2CSR21",1,"1V","0",81813,987,2319.45,0.0,151.0,0.01,2470.46,0,0
"2CSR41",1,"23","0",60686,880,2068.0,207.0,0.0,0.01,2275.01,0,0
"2CSRD1",1,"24","0",62078,728,1710.8,172.0,0.0,0.01,1882.81,0,0
"2CSTH1",1,"E","0",24466,674,1718.7,0.0,0.0,0.01,1718.71,0,0
"2CSU71",1,"Q","0",0,2020,5220.0,0.0,0.0,0.01,5220.01,0,0
"2CSV61",1,"J","0",121147,787,2014.41,0.0,0.0,0.01,2014.42,0,0
"2CSV81",1,"8","0",9265,834,2135.04,0.0,0.0,0.01,2135.05,0,0
"2CSVA1",1,"Q","0",0,1500,3950.0,0.0,0.0,0.01,3950.01,0,0
"2CSVB1",1,"E","0",24964,498,1274.88,0.0,0.0,0.01,1274.89,0,0
"2CT2Q1",1,"J","0",121736,591,1258.83,0.0,0.0,0.01,1258.84,0,0
"2CT2R1",1,"1P","0",67823,817,2083.35,0.0,1000.0,0.01,3083.36,0,0
"2CT361",1,"1F","0",100570,611,1649.7,0.0,0.0,0.01,1649.71,0,0
"2CT3H1",1,"Z","0",49648,554,1423.78,0.0,1031.41,0.01,2455.2,0,0
"2CT3K1",1,"6F1","0",3725,1383,2945.79,176.75,1539.83,0.01,4662.38,0,0
"2CT7O1",1,"1G","0",34900,783,2395.98,0.0,0.0,0.01,2395.99,0,0
"2CT7Q1",1,"1A","0",31359,668,2338.0,0.0,0.0,0.01,2338.01,0,0
"2CT7U1",1,"1O","0",6097,787,2754.5,0.0,0.0,0.01,2754.51,0,0
"2CT7Z1",1,"46","0",7999,836,2424.4,0.0,1700.0,0.01,4124.41,0,0
"2CTW51",1,"L","0",6652,785,2111.65,4.0,0.0,0.01,2115.66,0,0
"2CTW91",1,"L","0",7196,544,1441.6,24.0,0.0,0.01,1465.61,0,0
"2CTWD1",1,"L","0",7747,551,1504.23,21.0,0.0,0.01,1525.24,0,0
"2CTWK1",1,"1N","0",24342,1251,3940.65,0.0,0.0,0.01,3940.66,0,0
"2CTWL1",1,"1N","0",25469,1127,3550.05,0.0,0.0,0.01,3550.06,0,0
"2CTWO1",1,"1N","0",26803,1334,3535.1,0.0,0.0,0.01,3535.11,0,0
"2CTWQ1",1,"1N","0",28190,1387,3675.55,0.0,0.0,0.01,3675.56,0,0
"2CTX61",1,"I","0",36080,674,2089.4,0.0,0.0,0.01,2089.41,0,0
"2CTX81",1,"I","0",36761,681,2111.1,0.0,0.0,0.01,2111.11,0,0
"2CTXA1",1,"I","0",37500,739,2290.9,0.0,0.0,0.01,2290.91,0,0
"2CTXC1",1,"I","0",38363,863,2675.3,0.0,0.0,0.01,2675.31,0,0
"2CTXH1",1,"4V","0",20277,1568,4014.08,0.0,2200.0,0.01,6214.09,0,0
"2CU001",1,"4Z","0",0,1626,5091.01,0.0,152.0,0.01,5243.02,0,0
"2CU041",1,"4Z","0",0,1401,4483.2,0.0,752.0,0.01,5235.21,0,0
"2CU0B1",1,"4Z","0",0,1560,4227.6,0.0,103.36,0.01,4330.97,0,0
"2CU0H1",1,"4Z","0",0,1614,4373.94,0.0,116.52,0.01,4490.47,0,0
"2CU0J1",1,"S","0",0,797,2391.0,0.0,500.0,0.01,2891.01,0,0
"2CU0Q1",1,"3C","0",41935,1556,5414.88,270.0,0.0,0.01,5684.89,0,0
"2CU0U1",1,"3C","0",42935,1000,3480.0,174.0,0.0,0.01,3654.01,0,0
"2CU111",1,"3C","0",43864,929,3232.92,323.0,180.0,0.01,3735.93,0,0
"2CU171",1,"3C","0",45091,1227,4269.96,323.0,230.0,0.01,4822.97,0,0
"2CU1I1",1,"55","0",11440,973,2257.36,0.0,0.0,0.01,2257.37,0,0
"2CU1O1",1,"2C","0",0,1195,3465.5,0.0,1500.0,0.01,4965.51,0,0
"2CU1Q1",1,"2C","0",0,1203,3009.0,0.0,1500.0,0.01,4509.01,0,0
"2CU1R1",1,"J","0",122400,667,1420.71,0.0,0.0,0.01,1420.72,0,0
"2CU1V1",1,"8","0",9920,655,1395.15,0.0,0.0,0.01,1395.16,0,0
"2CU1X1",1,"8","0",10746,826,1759.38,0.0,0.0,0.01,1759.39,0,0
"2CU1Z1",1,"E","0",25368,404,860.52,0.0,0.0,0.01,860.53,0,0
"2CU201",1,"E","0",25851,483,1028.79,0.0,0.0,0.01,1028.8,0,0
"2CU221",1,"K","0",52182,775,2867.5,0.0,0.0,0.01,2867.51,0,0
"2CU241",1,"N","0",52571,1024,2181.12,218.0,174.0,0.01,2573.13,0,0
"2CU251",1,"5H","0",17850,1321,3579.91,0.0,157.8,0.01,3737.72,0,0
"2CU281",1,"6M1","0",10695,201,522.6,0.0,29.0,0.01,551.61,0,0
"2CU2F1",1,"6M1","0",11932,1237,3216.2,0.0,78.0,0.01,3294.21,0,0
"2CU2I1",1,"2G","0",55592,684,2175.12,0.0,179.0,0.01,2354.13,0,0
"2CU2Q1",1,"S","0",16538,738,2214.0,0.0,500.0,0.01,2714.01,0,0
"2CU701",1,"5L","0",16774,1584,7920.0,0.0,1260.0,0.01,9180.01,0,0
"2CU7E1",1,"3Y","0",57093,1565,4115.95,0.0,300.0,0.01,4415.96,0,0
"2CUMR1",1,"2Z","0",30304,772,2030.36,0.0,300.0,0.01,2330.37,0,0
